Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
58.40%;6.01%;24.03%;2.37%;0.63%;0.54%;0.03%;0.40%;0.03%;7.56%;248.3908714;52.03520151;25.85708803;918.8824196;87.14%;625.7255084;353.2888002;60.50973863;39.77273281;0.039772733;9.903410469;37.59565607;24.63751737;439.4125498;550.7579405;561.590125;416.5052383;;67.50009155;1.2;80.00%;99.57%;0.05;149.9335327;3;156.146698;0.03;0.02;69.41598511;0.785574169;98.00%;2.601682186;0.1;0.1;2.5;80.00%;0.9;0.85;30254.86932;2819.674206;33074.54352;9.718079923;1000;0.2;800
56.46%;6.09%;24.66%;2.30%;1.38%;0.56%;0.11%;0.54%;0.13%;7.77%;247.2483334;61.97211276;36.52188126;849.1633325;87.39%;624.6445422;347.1634609;59.26844954;56.91123751;0.056911238;14.17089814;53.79603464;41.2776257;503.1355348;735.9919237;671.3666934;555.5136288;;66.66403961;1.2;80.00%;99.96%;0.05;149.2510071;3;157.8565979;0.03;0.02;68.94203186;0.727745378;98.00%;2.349411726;0.1;0.1;2.5;80.00%;0.9;0.85;29634.22477;4034.702598;33668.92737;9.270808734;1000;0.2;800
50.88%;6.31%;14.96%;1.05%;0.52%;0.28%;0.28%;0.33%;0.10%;25.28%;239.0322043;63.46572596;36.97169906;753.9483139;81.88%;565.8043005;336.0152834;65.55514834;57.6745106;0.057674511;14.36095314;54.51752775;32.82941812;479.0232146;749.8058426;705.0882862;565.9054169;;65.49011993;1.2;80.00%;99.96%;0.05;146.9915009;3;140.9229584;0.03;0.02;68.71512604;0.730470918;98.00%;2.412621498;0.1;0.1;2.5;80.00%;0.9;0.85;32777.57417;4088.814581;36866.38875;8.062931722;1000;0.2;800
59.25%;7.73%;17.30%;1.94%;0.92%;0.66%;0.18%;0.08%;0.10%;11.84%;215.4356837;77.60721416;38.23211518;757.6172219;87.71%;546.2742036;300.3971756;-4.91676002;59.7681454;0.059768145;14.88226821;56.49656134;41.52353885;478.2925269;577.0326245;502.0935365;436.3630012;;53.89743423;1.2;80.00%;98.94%;0.05;144.8614655;3;157.4507141;0.03;0.02;65.38918304;0.731717411;98.00%;2.347914219;0.1;0.1;2.5;80.00%;0.9;0.85;2458.38001;4237.2421;6695.622111;7.660896033;1000;0.2;800
55.89%;3.82%;12.73%;1.67%;0.44%;0.34%;0.22%;0.52%;0.08%;24.30%;250.8720527;73.94381078;46.71106698;806.1671642;82.03%;594.9148389;345.3947581;81.8764248;73.25172184;0.073251722;18.23967874;69.24207483;50.70863065;551.3225975;708.8854442;591.0279473;535.2247662;;62.92597198;1.2;80.00%;100.00%;0.05;148.34729;3;158.1153717;0.03;0.02;56.15643311;0.750327304;98.00%;2.193642616;0.1;0.1;2.5;80.00%;0.9;0.85;40938.2124;5193.155612;46131.36801;14.62894526;1000;0.2;800
55.27%;4.02%;13.89%;0.45%;1.35%;0.35%;0.30%;0.30%;0.05%;24.02%;236.641568;80.04008979;23.703555;739.8229334;92.94%;635.8676429;339.3597947;39.11175464;36.18454719;0.036184547;9.009952251;34.20388028;16.88907725;430.6640242;432.507386;440.3161283;328.2076153;;61.35530472;1.2;80.00%;99.99%;0.05;145.7728577;3;147.8173065;0.03;0.02;61.78454208;0.797076401;98.00%;2.5143435;0.1;0.1;2.5;80.00%;0.9;0.85;19555.87732;2565.291021;22121.16834;13.73558366;1000;0.2;800
61.12%;3.89%;16.92%;0.89%;1.12%;0.36%;0.13%;0.18%;0.12%;15.27%;233.9961288;77.9729007;24.87677695;835.9509432;97.96%;662.6894696;334.8035187;-5.154161727;38.1071682;0.038107168;9.488684882;36.02126101;18.47029619;450.4834078;437.9922464;418.51233;332.2803939;;74.68648529;1.2;80.00%;99.57%;0.05;140.521286;3;142.3516235;0.03;0.02;66.60684967;0.769389227;98.00%;2.902203083;0.1;0.1;2.5;80.00%;0.9;0.85;2577.080864;2701.594576;5278.675439;15.70247778;1000;0.2;800
52.41%;7.91%;13.93%;1.44%;0.82%;0.38%;0.07%;0.31%;0.02%;22.72%;258.7810908;63.05177521;24.1417307;981.1680103;88.26%;660.2941024;370.440175;25.76519498;36.86459562;0.036864596;9.17928431;34.84670427;18.72737951;444.2980958;490.0904031;509.5594839;371.2858343;;60.08104706;1.2;80.00%;91.03%;0.05;146.1081238;3;147.968811;0.03;0.02;69.84073639;0.743679264;98.00%;2.779302597;0.1;0.1;2.5;80.00%;0.9;0.85;12882.59749;2613.50282;15496.10031;6.629406338;1000;0.2;800
54.61%;4.90%;16.94%;1.83%;0.74%;0.70%;0.25%;0.52%;0.14%;19.36%;221.901326;73.30360988;47.54103867;828.0390975;79.55%;510.3367723;280.6606358;44.61346804;74.87388722;0.074873887;18.64359792;70.77544625;57.3216871;518.1033075;707.5713858;572.6305214;533.9384289;;52.10070801;1.2;80.00%;99.76%;0.05;146.2936554;3;150.7008057;0.03;0.02;67.60910034;0.725277909;98.00%;2.594395161;0.1;0.1;2.5;80.00%;0.9;0.85;22306.73402;5308.158468;27614.89249;11.13591542;1000;0.2;800
54.45%;5.60%;21.29%;2.94%;1.29%;0.77%;0.04%;0.39%;0.13%;13.10%;231.2163861;64.71719436;29.98066323;815.3368689;83.89%;560.7485544;327.3520476;61.24812663;46.44487606;0.046444876;11.56477414;43.90258007;23.88489801;434.6923899;564.24193;560.3380854;426.66286;;50.34169006;1.2;80.00%;100.00%;0.05;144.921814;3;147.3278656;0.03;0.02;50.03995514;0.738064193;98.00%;2.757964849;0.1;0.1;2.5;80.00%;0.9;0.85;30624.06332;3292.693505;33916.75682;9.72366785;1000;0.2;800
51.65%;6.28%;21.93%;0.56%;0.81%;0.41%;0.21%;0.25%;0.15%;17.75%;230.5455504;77.8352997;34.11945411;908.1830764;88.67%;591.0120721;325.020342;35.302513;53.03612091;0.053036121;13.20599411;50.13303388;31.11449915;473.0179559;682.7870339;632.9986528;515.7159228;;51.30724716;1.2;80.00%;100.00%;0.05;142.6730652;3;154.8609314;0.03;0.02;62.81918716;0.824254168;98.00%;2.909317017;0.1;0.1;2.5;80.00%;0.9;0.85;17651.2565;3759.977541;21411.23404;8.223577598;1000;0.2;800
54.68%;4.43%;17.21%;0.89%;1.36%;0.87%;0.16%;0.34%;0.05%;20.03%;218.6728453;77.073306;38.06524719;921.4058151;98.58%;623.216452;305.3931178;21.12995977;59.48112637;0.059481126;14.81080047;56.22525313;39.80277204;512.5798805;680.5979308;567.7768106;513.9509081;;58.11227036;1.2;80.00%;99.98%;0.05;140.4188995;3;140.4147186;0.03;0.02;67.5714035;0.76411772;98.00%;2.35944891;0.1;0.1;2.5;80.00%;0.9;0.85;10564.97988;4216.893984;14781.87387;12.33954346;1000;0.2;800
55.18%;5.14%;15.86%;0.92%;1.03%;0.75%;0.23%;0.59%;0.03%;20.27%;231.4896111;50.2330998;27.14725212;704.135371;84.53%;565.7147307;329.8475305;25.86524042;41.96406358;0.041964064;10.44905183;39.66703795;17.63606573;419.8990715;526.75908;541.3885619;398.452366;;57.86365509;1.2;80.00%;97.24%;0.05;141.3654327;3;158.3463745;0.03;0.02;60.44390488;0.738300937;98.00%;2.803451538;0.1;0.1;2.5;80.00%;0.9;0.85;12932.62021;2975.027846;15907.64806;10.72850017;1000;0.2;800
61.03%;4.29%;14.52%;1.40%;0.73%;0.26%;0.08%;0.15%;0.11%;17.44%;233.6064419;64.58695556;31.37112791;872.4624134;83.24%;562.1553455;322.3228668;91.29015241;48.70694889;0.048706949;12.12803027;46.04083173;29.89719694;443.8308317;564.2493209;545.4437069;426.5633644;;62.81020737;1.2;80.00%;99.39%;0.05;146.6734619;3;146.5347748;0.03;0.02;53.26882172;0.7761481;98.00%;2.646193743;0.1;0.1;2.5;80.00%;0.9;0.85;45645.0762;3453.06238;49098.13858;14.22578736;1000;0.2;800
61.70%;7.58%;19.86%;2.36%;0.81%;0.80%;0.19%;0.54%;0.13%;6.03%;258.4039965;73.22426877;26.51518985;923.1582783;91.38%;682.648034;368.0449752;15.65994773;40.63198468;0.040631985;10.11736419;38.40787428;23.43039484;468.7118133;478.6566396;468.0991897;362.8472436;;67.60581207;1.2;80.00%;99.56%;0.05;141.7427063;3;158.6754608;0.03;0.02;66.67831421;0.810292513;98.00%;2.535037518;0.1;0.1;2.5;80.00%;0.9;0.85;7829.973867;2880.590571;10710.56444;8.137859409;1000;0.2;800
54.80%;3.22%;24.14%;0.81%;1.20%;0.55%;0.01%;0.26%;0.04%;14.96%;261.2096813;73.06907162;45.85393749;896.911816;90.73%;685.1303598;363.1039123;43.42672354;71.79996117;0.071799961;17.87819033;67.86978052;53.77726905;587.5703338;754.3621152;608.1818509;569.4702033;;56.27967834;1.2;80.00%;97.56%;0.05;142.8475037;3;154.4661407;0.03;0.02;69.54798126;0.743303262;98.00%;2.943333626;0.1;0.1;2.5;80.00%;0.9;0.85;21713.36177;5090.233539;26803.59531;17.00568224;1000;0.2;800
56.68%;2.55%;14.88%;2.39%;0.99%;0.68%;0.07%;0.48%;0.14%;21.14%;232.0271528;60.25840902;20.07260417;898.9635716;85.45%;573.1666525;326.4467969;50.73571195;30.52037559;0.030520376;7.599573522;28.84975366;5.756092532;379.8706609;590.8075135;646.3101135;446.6538839;;73.7572937;1.2;80.00%;99.74%;0.05;146.311615;3;154.5579071;0.03;0.02;64.1432724;0.726974828;98.00%;2.898448467;0.1;0.1;2.5;80.00%;0.9;0.85;25367.85597;2163.731525;27531.5875;22.19481387;1000;0.2;800
50.75%;4.64%;24.83%;2.12%;0.46%;0.54%;0.04%;0.34%;0.03%;16.25%;239.9624864;72.821879;16.24477629;960.4258535;89.20%;618.8365326;347.1870766;56.45458266;24.18449197;0.024184492;6.0219385;22.86068314;9.203666665;377.2371438;424.399216;498.7806592;322.0715378;;58.02599335;1.2;80.00%;98.29%;0.05;144.9096375;3;152.1470337;0.03;0.02;61.34418106;0.757118283;98.00%;2.198073149;0.1;0.1;2.5;80.00%;0.9;0.85;28227.29133;1714.551235;29941.84257;10.94588069;1000;0.2;800
55.46%;2.41%;23.52%;2.29%;0.97%;0.79%;0.03%;0.46%;0.01%;14.05%;214.8559482;85.19810913;28.41274191;701.2627111;95.11%;590.8113834;299.7308638;16.58963269;43.90781181;0.043907812;10.93304514;41.50438944;33.30658618;438.5464264;685.4467486;651.0676983;517.759834;;60.28873444;1.2;80.00%;99.85%;0.05;148.682373;3;158.0823364;0.03;0.02;55.32290649;0.771744871;98.00%;2.708563805;0.1;0.1;2.5;80.00%;0.9;0.85;8294.816343;3112.829208;11407.64555;23.02547426;1000;0.2;800
62.77%;6.64%;14.10%;1.92%;1.23%;0.36%;0.30%;0.34%;0.02%;12.33%;234.8218097;69.96507109;15.36313309;876.5407206;94.49%;641.4660896;340.3718955;54.77222495;22.81260965;0.02281261;5.680339803;21.56389481;5.564609882;382.4340263;552.5881854;613.7205025;418.1279214;;61.69997025;1.2;80.00%;100.00%;0.05;149.8538971;3;141.363327;0.03;0.02;52.04976273;0.800823496;98.00%;2.589062214;0.1;0.1;2.5;80.00%;0.9;0.85;27386.11247;1617.292111;29003.40458;9.45406032;1000;0.2;800
49.68%;7.04%;13.12%;2.68%;1.09%;0.73%;0.18%;0.29%;0.03%;25.17%;265.7405164;70.31875642;40.331515;920.1269447;90.23%;693.2283893;374.0889533;-7.753920068;62.87594546;0.062875945;15.65611042;59.43424687;45.37581974;557.9307119;593.198561;489.5188731;448.7069319;;51.52722931;1.2;80.00%;99.94%;0.05;144.0374908;3;151.9037933;0.03;0.02;51.0021286;0.815666826;98.00%;2.535147667;0.1;0.1;2.5;80.00%;0.9;0.85;3876.960034;4457.568516;8334.52855;7.060835482;1000;0.2;800
59.05%;6.00%;23.54%;2.68%;0.67%;0.32%;0.04%;0.11%;0.05%;7.53%;210.3154478;64.52682036;42.41306353;742.4304837;92.13%;560.1472968;290.5954832;43.75076828;66.62852564;0.066628526;16.59050289;62.98141862;42.4822237;510.3053988;614.8739355;494.1611728;464.3575566;;62.83230591;1.2;80.00%;100.00%;0.05;142.4184265;3;157.4360962;0.03;0.02;64.45158386;0.820202776;98.00%;2.385771036;0.1;0.1;2.5;80.00%;0.9;0.85;21875.38414;4723.606397;26598.99054;9.842625123;1000;0.2;800
55.12%;2.13%;23.18%;2.40%;0.36%;0.86%;0.14%;0.24%;0.12%;15.46%;250.0240888;47.66471012;36.42410837;747.7704561;86.83%;627.6474257;352.6865677;63.17359756;56.82193666;0.056821937;14.14866223;53.71162194;35.86142479;504.2176963;721.4240046;660.4775083;544.4490148;;68.01567841;1.2;80.00%;98.88%;0.05;142.1004791;3;151.4311829;0.03;0.02;63.70413208;0.755380839;98.00%;2.687220097;0.1;0.1;2.5;80.00%;0.9;0.85;31586.79878;4028.371645;35615.17042;25.82082286;1000;0.2;800
60.76%;3.73%;20.25%;1.05%;1.40%;0.70%;0.07%;0.19%;0.06%;11.79%;233.3684458;51.91251374;13.66697288;807.1384394;86.58%;584.161309;335.8113949;48.41986825;20.21702176;0.020217022;5.034038417;19.110384;5.555787572;346.4107387;542.7407712;642.8364127;410.5650261;;67.81797028;1.2;80.00%;96.78%;0.05;144.3042908;3;153.9090271;0.03;0.02;66.66854858;0.759375139;98.00%;2.057865143;0.1;0.1;2.5;80.00%;0.9;0.85;24209.93413;1433.2788;25643.21293;16.27257716;1000;0.2;800
51.20%;4.62%;22.89%;0.86%;0.73%;0.85%;0.17%;0.28%;0.01%;18.39%;257.2354659;69.80142642;23.20316929;695.1021335;87.41%;650.0522179;358.6918535;55.62801913;35.36060031;0.0353606;8.804789476;33.42503453;18.42380506;433.7602013;568.1617234;589.2072615;429.8446294;;63.62219238;1.2;80.00%;98.44%;0.05;142.604599;3;152.0148621;0.03;0.02;66.12789154;0.743322841;98.00%;2.447435856;0.1;0.1;2.5;80.00%;0.9;0.85;27814.00957;2506.87759;30320.88716;11.081804;1000;0.2;800
62.13%;5.81%;19.58%;1.55%;0.31%;0.27%;0.20%;0.58%;0.10%;9.47%;216.7601193;76.08344816;28.28937028;760.3255824;90.25%;565.5854003;303.0006722;29.79073022;43.75362493;0.043753625;10.89465261;41.35864243;28.91472503;426.5991278;636.2572394;619.3380961;480.7701966;;59.1505394;1.2;80.00%;98.34%;0.05;145.894165;3;152.2359619;0.03;0.02;63.08908081;0.746184751;98.00%;2.634580374;0.1;0.1;2.5;80.00%;0.9;0.85;14895.36511;3101.898183;17997.26329;10.68709549;1000;0.2;800
49.80%;5.64%;19.06%;1.16%;0.42%;0.34%;0.03%;0.06%;0.11%;23.39%;263.0451613;71.85162119;35.46313489;922.702444;84.58%;643.1918018;366.7320824;51.69135971;55.05740655;0.055057407;13.70929423;52.04367854;41.36412722;505.1315045;652.8801431;603.0677366;493.4124961;;68.89943695;1.2;80.00%;99.90%;0.05;143.2616425;3;141.134079;0.03;0.02;54.58565903;0.762634394;98.00%;2.556455612;0.1;0.1;2.5;80.00%;0.9;0.85;25845.67985;3903.27589;29748.95574;8.832371169;1000;0.2;800
52.19%;6.01%;19.11%;0.73%;1.40%;0.42%;0.08%;0.16%;0.11%;19.81%;210.8606233;80.54400679;34.27809208;799.4717586;94.03%;573.2075424;295.4435911;-1.524456504;53.40271009;0.05340271;13.29727481;50.47955673;36.75745054;466.1464514;608.6199019;540.6784119;460.0146421;;66.90662384;1.2;80.00%;95.83%;0.05;140.4711456;3;156.4684448;0.03;0.02;50.30863953;0.804369545;98.00%;2.314097881;0.1;0.1;2.5;80.00%;0.9;0.85;762.2282522;3785.966754;4548.195007;8.690179855;1000;0.2;800
55.74%;6.22%;24.18%;2.74%;1.36%;0.40%;0.18%;0.52%;0.09%;8.56%;220.9541108;65.95532375;36.38144776;688.7754154;89.63%;572.5589548;297.6485164;57.77797353;56.87461161;0.056874612;14.16177829;53.76141357;32.56287848;479.0634902;653.019551;572.6806112;493.0414281;;65.69403839;1.2;80.00%;96.62%;0.05;140.2306824;3;155.5844879;0.03;0.02;57.44047928;0.823110862;98.00%;2.947324753;0.1;0.1;2.5;80.00%;0.9;0.85;28888.98676;4032.106018;32921.09278;8.958221787;1000;0.2;800
53.87%;2.83%;13.91%;2.23%;1.49%;0.69%;0.28%;0.15%;0.05%;24.50%;235.9981381;52.18668004;37.66480532;877.281999;86.32%;588.9732245;320.8419885;33.95458831;58.92938231;0.058929382;14.6734162;55.7037104;34.15262174;494.6147286;778.431134;701.8999449;587.1742309;;71.48020172;1.2;80.00%;96.70%;0.05;140.937439;3;152.9431305;0.03;0.02;58.06721497;0.79084621;98.00%;2.32291913;0.1;0.1;2.5;80.00%;0.9;0.85;16977.29416;4177.77828;21155.07243;19.03544541;1000;0.2;800
58.62%;2.56%;14.83%;0.37%;0.60%;0.51%;0.25%;0.36%;0.13%;21.78%;228.0739082;47.82190839;17.69388236;664.7168214;86.92%;573.1397952;319.105688;42.74213278;26.80141256;0.026801413;6.673551727;25.33435893;2.348343787;366.4751535;437.8900009;501.512903;331.7744015;;68.00592804;1.2;80.00%;94.90%;0.05;141.086792;3;143.6656494;0.03;0.02;68.54366302;0.788014428;98.00%;2.72984457;0.1;0.1;2.5;80.00%;0.9;0.85;21371.06639;1900.07692;23271.14331;22.9126537;1000;0.2;800
54.69%;5.15%;15.00%;2.33%;1.21%;0.52%;0.06%;0.50%;0.04%;20.51%;248.1915108;56.52291009;16.19496708;847.1771572;87.40%;627.1332494;342.3764734;24.38449784;24.23018077;0.024230181;6.033315012;22.90387103;13.10953541;381.6660837;430.0295038;495.1191789;326.0575618;;62.56701279;1.2;80.00%;94.70%;0.05;149.0331573;3;154.9693298;0.03;0.02;55.1868248;0.732535133;98.00%;2.025240898;0.1;0.1;2.5;80.00%;0.9;0.85;12192.24892;1717.790327;13910.03925;10.6227962;1000;0.2;800
56.27%;5.39%;23.23%;2.99%;0.86%;0.42%;0.13%;0.10%;0.06%;10.54%;231.5381895;62.8495154;31.3655506;611.4357691;80.52%;539.0105583;311.5240136;81.42801486;48.75609407;0.048756094;12.14026742;46.08728681;31.85685152;432.9155061;588.0361001;572.9707389;444.357054;;59.0977478;1.2;80.00%;99.99%;0.05;140.2897949;3;152.3685455;0.03;0.02;65.6723175;0.801597394;98.00%;2.424951077;0.1;0.1;2.5;80.00%;0.9;0.85;40714.00743;3456.546511;44170.55394;10.43992356;1000;0.2;800
52.89%;6.87%;19.10%;0.87%;1.32%;0.51%;0.07%;0.30%;0.11%;17.94%;238.2480106;72.22962891;32.89490864;800.9530289;94.20%;648.8154389;337.0461828;19.35082791;51.04780665;0.051047807;12.71090386;48.25355581;32.18773215;492.441195;693.1426034;630.0912832;523.5220973;;54.3989296;1.2;80.00%;98.26%;0.05;147.0550842;3;152.5165558;0.03;0.02;60.50902939;0.748378092;98.00%;2.282330275;0.1;0.1;2.5;80.00%;0.9;0.85;9675.413956;3619.016685;13294.43064;7.696015875;1000;0.2;800
53.65%;2.54%;24.13%;1.02%;1.42%;0.81%;0.22%;0.45%;0.06%;15.70%;223.9196878;60.11781655;41.47895921;680.8010292;81.59%;528.1776312;306.4596502;51.4416985;65.08358212;0.065083582;16.20581195;61.5210421;41.36970163;489.461884;683.79595;602.7600766;516.1739346;;59.85419464;1.2;80.00%;100.00%;0.05;147.1530457;3;159.5630188;0.03;0.02;53.96681976;0.775934532;98.00%;2.449086189;0.1;0.1;2.5;80.00%;0.9;0.85;25720.84925;4614.078157;30334.92741;21.12930013;1000;0.2;800
51.11%;2.30%;20.60%;1.94%;0.56%;0.47%;0.26%;0.54%;0.01%;22.22%;227.1325729;65.41201273;16.08018428;763.4558657;94.03%;617.4628201;329.0880663;54.75190335;24.04581111;0.024045811;5.987406966;22.72959338;-0.854295783;376.4205925;547.9935726;606.9018616;414.5865258;;57.22833252;1.2;80.00%;100.00%;0.05;142.0753174;3;146.9019318;0.03;0.02;58.83240891;0.806958714;98.00%;2.061899662;0.1;0.1;2.5;80.00%;0.9;0.85;27375.95168;1704.719504;29080.67118;22.2060647;1000;0.2;800
51.23%;7.55%;19.94%;0.31%;0.42%;0.72%;0.15%;0.13%;0.11%;19.44%;216.3719466;66.16877318;14.64504532;623.5266489;99.40%;621.7659586;313.8401003;-5.288035269;21.79588331;0.021795883;5.427174944;20.60282196;11.62921267;370.0223731;489.7740416;542.0507596;370.9353908;;53.39142227;1.2;80.00%;99.01%;0.05;146.3121796;3;151.1853638;0.03;0.02;54.36833191;0.784229897;98.00%;2.848576546;0.1;0.1;2.5;80.00%;0.9;0.85;2644.017634;1545.211647;4189.229281;6.781576775;1000;0.2;800
53.52%;3.08%;13.80%;1.41%;1.33%;0.32%;0.12%;0.36%;0.03%;26.03%;216.8820321;55.79983223;45.44199152;817.8771764;83.68%;524.7094404;296.279336;50.40854471;71.53820087;0.071538201;17.81301202;67.62234843;60.21093737;512.3692547;716.2946329;600.7061819;540.383112;;55.06248474;1.2;80.00%;100.00%;0.05;142.6601868;3;150.4777527;0.03;0.02;61.85007858;0.804917214;98.00%;2.297481775;0.1;0.1;2.5;80.00%;0.9;0.85;25204.27236;5071.676132;30275.94849;17.35675989;1000;0.2;800
50.93%;5.98%;12.04%;1.87%;1.42%;0.59%;0.04%;0.46%;0.04%;26.61%;226.5894541;53.71451597;19.22855127;684.7457384;92.65%;606.9028009;326.6597499;39.87420145;29.20223963;0.02920224;7.271357668;27.60376972;3.506037879;390.7340405;405.772534;447.1756004;307.7361102;;65.91640472;1.2;80.00%;99.69%;0.05;140.6938324;3;143.425766;0.03;0.02;57.0562973;0.769117356;98.00%;2.284004688;0.1;0.1;2.5;80.00%;0.9;0.85;19937.10072;2070.282729;22007.38345;8.511106406;1000;0.2;800
52.51%;4.80%;24.39%;2.74%;0.72%;0.53%;0.19%;0.08%;0.13%;13.92%;215.6109948;55.13652504;36.21792501;655.5885449;84.82%;528.7428947;300.8646504;31.1089712;56.66697192;0.056666972;14.11007601;53.56513964;36.73522948;457.9454969;535.616602;483.9284782;404.9560406;;64.64790344;1.2;80.00%;95.11%;0.05;148.0888214;3;151.3189545;0.03;0.02;54.08718109;0.792667641;98.00%;2.997804642;0.1;0.1;2.5;80.00%;0.9;0.85;15554.4856;4017.385473;19571.87107;10.9395108;1000;0.2;800
51.51%;7.28%;14.44%;1.47%;1.38%;0.77%;0.18%;0.21%;0.07%;22.70%;222.3126144;58.78463973;29.27230005;867.431262;87.09%;559.7473505;300.6979257;50.35079212;45.45810501;0.045458105;11.31906815;42.96982282;26.54781688;430.3630269;718.028236;694.9121258;541.7755625;;53.8362999;1.2;80.00%;99.83%;0.05;146.9843903;3;149.9158173;0.03;0.02;59.88594055;0.80633492;98.00%;2.264587879;0.1;0.1;2.5;80.00%;0.9;0.85;25175.39606;3222.736711;28398.13277;7.078437302;1000;0.2;800
60.81%;7.18%;14.21%;0.42%;0.54%;0.66%;0.15%;0.51%;0.02%;15.50%;218.0628777;54.63040551;43.81903077;653.6623665;86.58%;545.8331188;301.0587222;31.81488832;68.91114596;0.068911146;17.15887534;65.13909305;45.58700972;512.3014714;629.1213526;517.008195;475.0617835;;50.70475388;1.2;80.00%;100.00%;0.05;140.0720825;3;142.910675;0.03;0.02;63.83840179;0.779084171;98.00%;2.606166601;0.1;0.1;2.5;80.00%;0.9;0.85;15907.44416;4885.431979;20792.87614;8.472794886;1000;0.2;800
61.47%;7.30%;18.59%;0.91%;0.25%;0.77%;0.15%;0.47%;0.07%;10.02%;257.4714432;49.16926348;43.37542766;840.8991653;81.15%;604.010232;360.2273041;44.48007914;67.97473094;0.067974731;16.925708;64.25393544;46.9641246;535.5772134;604.747059;517.3680138;456.9537476;;72.11785126;1.2;80.00%;99.25%;0.05;143.5987701;3;153.9160309;0.03;0.02;51.8257637;0.758460936;98.00%;2.632549286;0.1;0.1;2.5;80.00%;0.9;0.85;22240.03957;4819.045158;27059.08473;8.4173589;1000;0.2;800
49.18%;3.42%;23.20%;2.62%;1.46%;0.78%;0.18%;0.19%;0.04%;18.93%;260.2524729;63.6208537;44.17337733;897.1769403;82.42%;620.1444876;361.4445573;63.1324614;69.16145838;0.069161458;17.22120314;65.37570389;50.59598247;547.5032768;697.1958437;597.0318651;526.4731908;;72.41118622;1.2;80.00%;96.98%;0.05;146.9711304;3;158.8356628;0.03;0.02;59.10544586;0.816629976;98.00%;2.609811306;0.1;0.1;2.5;80.00%;0.9;0.85;31566.2307;4903.177792;36469.40849;14.36570639;1000;0.2;800
59.48%;4.50%;13.55%;0.78%;0.90%;0.80%;0.08%;0.30%;0.03%;19.57%;208.2334924;72.92902594;21.20654716;772.9871982;99.78%;600.6573404;289.8253067;21.63982111;32.42415896;0.032424159;8.07361558;30.64932788;5.999133411;400.1466459;618.8798686;617.3418778;467.6670846;;73.89673615;1.2;80.00%;99.14%;0.05;141.1491699;3;145.5032806;0.03;0.02;61.39506149;0.782955632;98.00%;2.297496796;0.1;0.1;2.5;80.00%;0.9;0.85;10819.91056;2298.699591;13118.61015;13.20632183;1000;0.2;800
55.54%;3.69%;15.64%;2.26%;1.15%;0.37%;0.08%;0.44%;0.09%;20.74%;251.8334249;50.80651272;27.65191619;728.0503113;85.29%;620.9702101;356.8792776;29.55090246;42.65565529;0.042655655;10.62125817;40.32077337;27.0462603;447.8399797;475.7500937;481.40257;360.3500874;;61.13774872;1.2;80.00%;92.77%;0.05;140.5163422;3;152.4618225;0.03;0.02;68.53455353;0.771420407;98.00%;2.399302721;0.1;0.1;2.5;80.00%;0.9;0.85;14775.45123;3024.058003;17799.50923;15.05969689;1000;0.2;800
