Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
56.96%;3.89%;24.10%;1.05%;0.56%;0.72%;0.04%;0.39%;0.02%;12.27%;241.1582268;63.1667644;24.0474007;4921.2469505;90.71%;632.4344096;340.8339505;39.1426124;36.8406111;0.0173593;9.1733122;34.8240326;23.4294128;533.3128925;623.8870750;529.8722139;471.4094076;;74.84261322;1.2;80.00%;98.48%;0.05;149.263382;3;143.822403;0.03;0.02;57.92448044;0.788612637;98.00%;2.220061302;0.1;0.1;2.5;80.00%;0.9;0.85;19571.3062243;2611.8024448;22183.1086691;14.6426735;1000;0.2;800
50.66%;3.13%;19.29%;2.86%;0.88%;0.65%;0.07%;0.13%;0.12%;22.20%;214.4851785;54.8431398;19.4463207;4005.0560770;91.47%;567.1777597;304.2801562;38.0200712;29.6429596;0.1622846;7.3810969;28.0203656;15.4166741;456.1453856;533.1412019;492.3971641;403.1107559;;63.90340805;1.2;80.00%;98.55%;0.05;144.7964325;3;143.6880493;0.03;0.02;56.63568497;0.794285830;98.00%;2.042165279;0.1;0.1;2.5;80.00%;0.9;0.85;19010.0355986;2101.5274170;21111.5630156;16.1853035;1000;0.2;800
57.97%;2.10%;20.87%;0.30%;1.36%;0.31%;0.22%;0.10%;0.07%;16.70%;245.4343821;85.7125815;13.6528714;4844.9082649;95.16%;675.2234163;356.1322659;37.1003029;19.8882476;0.0058030;4.9521737;18.7996063;4.1867781;442.6038453;452.8540468;465.6680573;343.5618106;;59.05276489;1.2;80.00%;99.60%;0.05;144.5564117;3;148.9929199;0.03;0.02;66.6268158;0.743479728;98.00%;2.032631636;0.1;0.1;2.5;80.00%;0.9;0.85;18550.1514733;1409.9704715;19960.1219448;27.6047619;1000;0.2;800
50.08%;7.58%;19.41%;1.56%;0.29%;0.58%;0.26%;0.49%;0.08%;19.66%;212.0295645;46.6510403;45.5436024;4229.9430056;82.68%;506.8270739;290.2239376;42.2334334;71.7871033;0.3077913;17.8749887;67.8576265;52.0638944;704.3994032;729.0541136;417.9607190;549.8784261;;70.16064453;1.2;80.00%;99.45%;0.05;148.1837463;3;152.9882355;0.03;0.02;54.86304474;0.802718546;98.00%;2.138871193;0.1;0.1;2.5;80.00%;0.9;0.85;21116.7166876;5089.3219876;26206.0386752;6.6068602;1000;0.2;800
57.52%;2.59%;15.58%;1.72%;0.50%;0.46%;0.11%;0.14%;0.03%;21.36%;243.5291644;69.5473546;16.4442187;5778.2408693;92.82%;653.4694871;346.7164886;27.6031270;24.5288387;0.0000000;6.1076808;23.1861811;14.5823597;462.6542340;430.4273772;414.9891267;326.4515940;;58.33755112;1.2;80.00%;98.10%;0.05;141.9552002;3;140.3570557;0.03;0.02;60.2639122;0.777194531;98.00%;2.577642918;0.1;0.1;2.5;80.00%;0.9;0.85;13801.5635198;1738.9635815;15540.5271013;22.2084942;1000;0.2;800
54.89%;6.19%;18.73%;1.54%;0.61%;0.75%;0.24%;0.48%;0.01%;16.56%;232.3942252;51.3601171;37.4614135;4759.8984423;84.77%;569.5259606;317.1980301;39.0029926;58.6229775;0.1109968;14.5971214;55.4140776;39.5311222;647.2063306;669.9325054;438.8264098;505.6493381;;68.78363037;1.2;80.00%;97.09%;0.05;144.364975;3;143.7280121;0.03;0.02;54.16226196;0.806151237;98.00%;2.266205788;0.1;0.1;2.5;80.00%;0.9;0.85;19501.4962789;4156.0558184;23657.5520973;8.8675283;1000;0.2;800
61.74%;7.76%;19.00%;1.75%;0.90%;0.29%;0.22%;0.45%;0.14%;7.76%;261.3958729;86.3186619;46.9600925;5709.6045535;85.82%;648.5256839;364.0896027;25.1236393;73.4918103;0.0000000;18.2994608;69.4690213;48.4753325;780.9301883;726.8956386;391.2470530;549.0355232;;58.65736008;1.2;80.00%;99.93%;0.05;147.6822662;3;144.3296051;0.03;0.02;68.34139252;0.733918045;98.00%;2.116752863;0.1;0.1;2.5;80.00%;0.9;0.85;12561.8196738;5210.1765994;17771.9962732;7.9561856;1000;0.2;800
53.21%;3.69%;20.48%;2.65%;0.75%;0.39%;0.25%;0.23%;0.08%;18.28%;225.2814123;60.9432415;22.7824425;5740.3988525;88.50%;576.3782027;311.1990505;39.1455209;34.9464923;0.2303404;8.7016766;33.0335939;20.4744816;495.5096061;591.9651154;515.9281043;447.4153110;;72.30744934;1.2;80.00%;96.21%;0.05;142.6730042;3;153.6600647;0.03;0.02;60.02527618;0.778387154;98.00%;2.787876606;0.1;0.1;2.5;80.00%;0.9;0.85;19572.7604669;2477.5195428;22050.2800097;14.4200542;1000;0.2;800
61.48%;2.34%;18.01%;0.98%;1.05%;0.67%;0.02%;0.36%;0.13%;14.98%;260.2950804;93.9221892;15.1459815;6922.5471203;94.16%;708.5893219;374.2762681;41.6682957;22.1611902;0.0201558;5.5181364;20.9481327;8.3886956;472.4244852;448.6896709;444.4829809;340.6961439;;72.46183777;1.2;80.00%;98.77%;0.05;146.1730499;3;158.0480042;0.03;0.02;68.19690704;0.734764342;98.00%;2.736814499;0.1;0.1;2.5;80.00%;0.9;0.85;20834.1478363;1571.1099539;22405.2577903;26.2735043;1000;0.2;800
54.54%;7.60%;24.24%;1.56%;1.41%;0.47%;0.01%;0.48%;0.12%;9.57%;230.9123892;59.4657132;45.7774788;5900.4525630;82.89%;553.3276336;314.3131088;44.9366173;71.9765152;0.2113410;17.9221523;68.0366704;43.2473875;726.5426571;815.8234824;499.7756426;615.2118045;;67.2173996;1.2;80.00%;98.18%;0.05;143.7005005;3;152.9784851;0.03;0.02;60.61981201;0.775409269;98.00%;2.66622591;0.1;0.1;2.5;80.00%;0.9;0.85;22468.3086476;5102.7502778;27571.0589254;7.1763158;1000;0.2;800
50.45%;6.04%;23.40%;1.32%;1.37%;0.69%;0.07%;0.10%;0.03%;16.52%;213.5960769;50.4914243;36.5247547;5405.6916132;86.45%;533.8554923;298.2564452;44.3426322;57.2023884;0.3339492;14.2433947;54.0712486;32.3749238;621.0361757;705.4565222;488.0658511;532.3527369;;53.924263;1.2;80.00%;99.88%;0.05;141.7946014;3;159.0598907;0.03;0.02;55.9376297;0.798101450;98.00%;2.709251165;0.1;0.1;2.5;80.00%;0.9;0.85;22171.3161123;4055.3436418;26226.6597542;8.3526490;1000;0.2;800
60.59%;3.74%;16.79%;0.28%;1.03%;0.33%;0.26%;0.29%;0.15%;16.56%;256.5269831;55.7614591;23.2119287;6713.0890524;92.84%;688.5025010;369.0759994;39.8485390;35.4200220;0.0261564;8.8195855;33.4812036;18.5932144;550.4377623;468.7099336;378.6141437;355.1802059;;57.30833817;1.2;80.00%;100.00%;0.05;147.268631;3;156.5062866;0.03;0.02;50.22687149;0.823507886;98.00%;2.946601868;0.1;0.1;2.5;80.00%;0.9;0.85;19924.2694787;2511.0902683;22435.3597470;16.2005348;1000;0.2;800
60.88%;4.48%;16.81%;1.20%;0.84%;0.49%;0.17%;0.24%;0.03%;14.86%;257.7547901;73.0486520;27.5833903;4961.3786643;86.87%;647.3622002;350.8385148;24.1594429;42.4282616;0.0000000;10.5646371;40.1058267;25.4224600;577.0657785;565.3656801;433.5187067;427.6901661;;70.42591858;1.2;80.00%;94.92%;0.05;143.0643921;3;140.0105133;0.03;0.02;62.37776947;0.766330272;98.00%;2.099431515;0.1;0.1;2.5;80.00%;0.9;0.85;12079.7214496;3007.9370059;15087.6584554;13.5892857;1000;0.2;800
53.74%;4.86%;18.26%;1.69%;0.59%;0.47%;0.14%;0.44%;0.13%;19.69%;227.5253354;56.9661389;29.6558639;5194.0089963;87.31%;574.3401281;314.6112240;38.1797635;46.0270874;0.0940304;11.4607448;43.5076603;30.1488294;566.7987420;594.7445329;445.7835627;449.3175164;;63.29406738;1.2;80.00%;97.32%;0.05;142.895813;3;140.882843;0.03;0.02;57.67824936;0.789841205;98.00%;2.491737366;0.1;0.1;2.5;80.00%;0.9;0.85;19089.8817283;3263.0745197;22352.9562480;11.0576132;1000;0.2;800
62.64%;5.05%;18.00%;2.35%;1.38%;0.78%;0.27%;0.17%;0.08%;9.29%;265.2063084;62.4015818;30.9660501;6369.0709903;90.79%;696.0745874;378.0348772;19.1666983;47.8265002;0.0000000;11.9087986;45.2085770;25.1920141;635.1200148;589.5434129;417.5158630;445.9045428;;55.29048538;1.2;80.00%;100.00%;0.05;149.3690033;3;148.3302765;0.03;0.02;53.97606659;0.807137081;98.00%;2.626044512;0.1;0.1;2.5;80.00%;0.9;0.85;9583.3491718;3390.6432767;12973.9924485;12.4039604;1000;0.2;800
58.93%;3.46%;14.44%;2.95%;1.41%;0.27%;0.03%;0.26%;0.13%;18.12%;249.4988466;70.3697379;21.5952556;6919.8501622;92.87%;669.8438740;358.4850834;34.0056770;32.7682556;0.0000000;8.1592956;30.9745894;13.5443106;523.9343202;460.9206366;390.2471084;349.4089200;;53.66672134;1.2;80.00%;99.71%;0.05;142.7664948;3;146.7514801;0.03;0.02;59.79401016;0.779562410;98.00%;2.966121197;0.1;0.1;2.5;80.00%;0.9;0.85;17002.8385030;2323.0942054;19325.9327084;17.0317919;1000;0.2;800
61.96%;3.56%;12.28%;0.84%;1.38%;0.57%;0.17%;0.55%;0.04%;18.66%;262.3273127;69.0975771;22.1882732;6492.2723002;89.18%;676.3569298;362.2134437;39.3105022;33.7153150;0.0000002;8.3951134;31.8698088;14.5017763;533.4647564;443.7147743;366.3444238;336.5174363;;66.76837921;1.2;80.00%;95.61%;0.05;140.1829376;3;150.922287;0.03;0.02;58.77328873;0.784595025;98.00%;2.770474434;0.1;0.1;2.5;80.00%;0.9;0.85;19655.2510894;2390.2356564;22045.4867458;17.4044944;1000;0.2;800
55.08%;4.12%;22.44%;0.58%;0.64%;0.43%;0.01%;0.23%;0.06%;16.41%;233.1986505;64.8382566;25.3862318;4565.3993130;91.38%;616.0476868;333.2904699;40.1741393;39.0188477;0.0679285;9.7156931;36.8830371;24.4395838;539.9211274;581.9224556;475.2762517;439.9399255;;56.8061142;1.2;80.00%;99.98%;0.05;147.1999054;3;145.9469147;0.03;0.02;59.82000351;0.779225764;98.00%;2.070376873;0.1;0.1;2.5;80.00%;0.9;0.85;20087.0696345;2766.2277822;22853.2974167;13.3689320;1000;0.2;800
49.54%;4.44%;24.30%;0.80%;0.77%;0.44%;0.24%;0.46%;0.10%;18.91%;209.7433033;53.6052311;27.1268327;4194.6716693;89.80%;544.5365474;297.6398036;37.4544845;42.0494378;0.1903985;10.4703100;39.7477390;25.6954738;527.2396905;635.1870624;514.8411937;479.5750107;;53.27116394;1.2;80.00%;100.00%;0.05;146.7873077;3;143.849762;0.03;0.02;57.32974625;0.791162711;98.00%;2.136175871;0.1;0.1;2.5;80.00%;0.9;0.85;18727.2422613;2981.0804254;21708.3226867;11.1576577;1000;0.2;800
57.95%;5.59%;16.50%;1.83%;0.81%;0.30%;0.18%;0.23%;0.01%;16.59%;245.3497058;52.0608708;34.0149137;4499.4007154;88.94%;630.8299698;346.4585467;41.5753591;52.9406211;0.0895204;13.1822146;50.0427615;33.6263285;638.2197149;577.2081708;377.9036878;436.3462104;;54.33914185;1.2;80.00%;99.84%;0.05;142.6187592;3;153.6827698;0.03;0.02;50.86535645;0.820551387;98.00%;2.025633812;0.1;0.1;2.5;80.00%;0.9;0.85;20787.6795481;3753.2071122;24540.8866603;10.3667263;1000;0.2;800
50.21%;3.55%;13.00%;1.31%;1.35%;0.64%;0.19%;0.06%;0.07%;29.62%;212.5799608;56.1162953;21.9006080;4013.0957215;89.36%;549.2115048;296.6495634;37.9665526;33.6206091;0.2248281;8.3715317;31.7802868;14.6700297;474.1440238;435.2648857;370.1833517;329.7097482;;74.85590363;1.2;80.00%;97.30%;0.05;146.4886475;3;147.0235748;0.03;0.02;58.66276932;0.784569283;98.00%;2.058048725;0.1;0.1;2.5;80.00%;0.9;0.85;18983.2762766;2383.5215113;21366.7977880;14.1436620;1000;0.2;800
52.62%;3.90%;13.14%;0.84%;1.08%;0.75%;0.13%;0.13%;0.07%;27.33%;222.7834602;69.5920681;24.0651444;4978.2264848;90.71%;584.2259453;316.0951606;38.6863293;36.9353170;0.1347146;9.1968939;34.9135545;19.3411594;511.8669861;436.3360294;346.1885958;330.7385095;;55.74914551;1.2;80.00%;99.18%;0.05;142.0180664;3;145.73909;0.03;0.02;64.33998871;0.755984427;98.00%;2.307906151;0.1;0.1;2.5;80.00%;0.9;0.85;19343.1646666;2618.5165899;21961.6812566;13.4923077;1000;0.2;800
50.11%;5.20%;16.88%;0.45%;1.28%;0.56%;0.16%;0.25%;0.14%;24.96%;212.1565791;59.1126179;31.6215553;5024.2056377;88.26%;541.3718811;298.9568714;38.9986980;49.2470894;0.1855146;12.2625253;46.5514060;27.0682125;572.6767450;547.2938113;380.3195865;413.7112281;;55.95955658;1.2;80.00%;100.00%;0.05;149.3376007;3;143.889801;0.03;0.02;61.18422318;0.772476663;98.00%;2.461813211;0.1;0.1;2.5;80.00%;0.9;0.85;19499.3489831;3491.3554532;22990.7044363;9.6365385;1000;0.2;800
55.32%;3.64%;16.49%;2.40%;1.12%;0.40%;0.01%;0.57%;0.01%;20.03%;234.2147666;72.5364207;22.6025183;5949.5038598;92.36%;625.3696813;336.2948241;38.4956736;34.4729626;0.0050586;8.5837677;32.5859842;17.1557488;514.4902413;496.3099402;418.3071203;375.7963957;;54.23527527;1.2;80.00%;100.00%;0.05;147.9338379;3;140.6497803;0.03;0.02;63.39208984;0.761105342;98.00%;2.632463932;0.1;0.1;2.5;80.00%;0.9;0.85;19247.8368000;2443.9488173;21691.7856172;15.1978022;1000;0.2;800
53.32%;1.65%;16.42%;2.86%;1.03%;0.60%;0.23%;0.15%;0.09%;23.64%;225.7471322;63.1179691;10.8346953;6158.8590019;95.01%;620.0967637;325.8962709;35.7232486;15.6264803;0.0991393;3.8909936;14.7711192;3.5981828;389.2762711;412.4344007;458.2189428;312.8278017;;69.3833313;1.2;80.00%;98.83%;0.05;147.3477325;3;146.1171265;0.03;0.02;58.63800049;0.785250692;98.00%;2.973384857;0.1;0.1;2.5;80.00%;0.9;0.85;17861.6242869;1107.8339419;18969.4582288;32.3151515;1000;0.2;800
52.89%;4.86%;18.92%;2.24%;0.40%;0.89%;0.17%;0.51%;0.06%;19.05%;223.9265908;63.4346078;29.6871428;4697.1198490;89.31%;578.1561981;316.6140556;39.3783840;46.0270874;0.1436897;11.4607448;43.5076603;31.6688294;568.6317394;602.1180387;452.8872657;454.9923357;;63.82189178;1.2;80.00%;99.73%;0.05;147.9118347;3;146.8901978;0.03;0.02;61.34563446;0.771580792;98.00%;2.188211918;0.1;0.1;2.5;80.00%;0.9;0.85;19689.1919908;3263.0745197;22952.2665105;10.8827160;1000;0.2;800
58.03%;6.39%;20.89%;0.44%;0.95%;0.63%;0.24%;0.26%;0.02%;12.15%;245.6884111;51.5384805;38.7135366;5112.0325653;87.61%;622.2552124;345.1082014;38.0175336;60.5170964;0.0000000;15.0687570;57.2045163;38.2460535;683.9608346;668.9718975;420.1789506;505.0444981;;51.52705765;1.2;80.00%;100.00%;0.05;146.2142181;3;143.2843933;0.03;0.02;51.03753662;0.819981550;98.00%;2.278249502;0.1;0.1;2.5;80.00%;0.9;0.85;19008.7667829;4290.3387204;23299.1055033;9.0813772;1000;0.2;800
57.66%;4.60%;17.89%;1.11%;0.33%;0.76%;0.29%;0.50%;0.09%;16.78%;244.1218988;77.0899321;28.2866389;5030.2757404;89.70%;633.0539215;343.9573607;40.0256664;43.5647329;0.1127906;10.8476185;41.1800900;30.3634188;578.1682608;561.6382534;423.5838530;424.9974452;;62.71791077;1.2;80.00%;98.74%;0.05;142.4763489;3;155.0645905;0.03;0.02;65.13787842;0.751690633;98.00%;2.122060776;0.1;0.1;2.5;80.00%;0.9;0.85;20012.8332169;3088.5067471;23101.3399640;12.5347826;1000;0.2;800
50.20%;4.46%;15.28%;0.47%;0.41%;0.81%;0.25%;0.23%;0.10%;27.80%;212.5376226;59.1002700;27.2744755;5523.5869774;89.53%;550.1216358;300.6241110;40.7614249;42.2388497;0.3101578;10.5174736;39.9267829;28.7189669;531.0826355;491.6061815;370.2449543;372.0999181;;73.87359619;1.2;80.00%;99.61%;0.05;149.5326538;3;157.5681458;0.03;0.02;60.60328674;0.775474244;98.00%;2.730838299;0.1;0.1;2.5;80.00%;0.9;0.85;20380.7124333;2994.5087156;23375.2211489;11.2556054;1000;0.2;800
53.88%;6.53%;23.04%;0.26%;0.35%;0.36%;0.06%;0.48%;0.11%;14.93%;228.1180698;66.1393302;39.5163913;5075.7452051;85.57%;564.3103815;315.9045980;44.0231739;61.8429795;0.2252803;15.3989019;58.4578234;44.0505053;665.4423071;714.9866437;464.2337463;539.7157618;;67.9262085;1.2;80.00%;99.07%;0.05;145.5989532;3;155.0936127;0.03;0.02;63.75685501;0.759109891;98.00%;2.273305893;0.1;0.1;2.5;80.00%;0.9;0.85;22011.5869695;4384.3367518;26395.9237214;8.2511485;1000;0.2;800
56.69%;1.89%;14.56%;2.22%;0.94%;0.45%;0.29%;0.12%;0.06%;22.76%;240.0150961;56.1204408;12.2581818;4629.0428647;93.29%;647.3072646;340.7812477;34.6463327;17.8994229;0.0138034;4.4569563;16.9196457;6.0401003;416.8575354;394.9793576;423.0856074;299.6829172;;70.72317505;1.2;80.00%;97.28%;0.05;145.517746;3;143.4300385;0.03;0.02;52.70024109;0.812640325;98.00%;2.213902712;0.1;0.1;2.5;80.00%;0.9;0.85;17323.1663482;1268.9734243;18592.1397725;29.9947090;1000;0.2;800
59.59%;6.24%;14.61%;0.41%;0.69%;0.79%;0.20%;0.59%;0.01%;16.88%;252.2931659;71.0643958;37.9359825;5277.9883612;88.04%;642.1574829;354.8941587;43.2180729;59.0965072;0.1010809;14.7150303;55.8616873;39.2498550;683.7705035;569.4910980;329.0781962;430.8558014;;66.10296631;1.2;80.00%;99.86%;0.05;147.6672211;3;158.401825;0.03;0.02;61.67889023;0.769981645;98.00%;2.157998562;0.1;0.1;2.5;80.00%;0.9;0.85;21609.0364464;4189.6265439;25798.6629902;9.5496795;1000;0.2;800
61.97%;5.31%;17.17%;1.71%;1.03%;0.44%;0.04%;0.12%;0.13%;12.08%;262.3696508;74.5082894;32.5122493;5579.5960643;88.54%;671.5791828;366.4945579;41.7198839;50.2888547;0.0000000;12.5219248;47.5361473;29.8574247;639.3750735;590.0513144;404.7564501;446.3322693;;73.17778778;1.2;80.00%;98.14%;0.05;146.2221069;3;152.3043823;0.03;0.02;61.77541733;0.769509979;98.00%;2.247889519;0.1;0.1;2.5;80.00%;0.9;0.85;20859.9419701;3565.2110493;24425.1530194;11.6704331;1000;0.2;800
52.06%;4.09%;21.96%;1.29%;0.37%;0.39%;0.08%;0.37%;0.02%;19.37%;220.4125226;56.7646319;25.1236809;4515.8147930;90.64%;577.6047008;313.3388343;39.1437279;38.7347299;0.1396547;9.6449477;36.6144713;26.3843441;520.4626774;587.8698608;486.5501462;444.2111636;;50.66707611;1.2;80.00%;99.61%;0.05;140.953476;3;145.1052094;0.03;0.02;57.30607986;0.791458421;98.00%;2.203324795;0.1;0.1;2.5;80.00%;0.9;0.85;19571.8639554;2746.0853469;22317.9493023;12.7286064;1000;0.2;800
54.21%;3.15%;13.71%;2.64%;1.17%;0.48%;0.18%;0.36%;0.10%;24.00%;229.5152295;68.5106260;19.6765545;5085.7001233;91.72%;608.5906053;325.7554964;36.6663141;29.8323714;0.0629206;7.4282605;28.1994094;13.2401672;476.7751828;443.8548922;397.6590632;336.3883947;;74.37554932;1.2;80.00%;98.42%;0.05;149.2550201;3;142.2856903;0.03;0.02;62.29537582;0.766778010;98.00%;2.350315809;0.1;0.1;2.5;80.00%;0.9;0.85;18333.1570689;2114.9557072;20448.1127762;17.2095238;1000;0.2;800
50.68%;6.82%;23.53%;1.98%;0.56%;0.78%;0.06%;0.31%;0.13%;15.15%;214.5698548;66.3627907;41.1724347;4812.3010488;84.80%;526.0255255;297.3104024;44.5234670;64.5894518;0.3102650;16.0827735;61.0539595;44.4511557;665.7195245;762.8814035;497.8102404;575.5657093;;65.15948486;1.2;80.00%;99.86%;0.05;147.5835724;3;156.1986084;0.03;0.02;66.40380096;0.744709327;98.00%;2.231976509;0.1;0.1;2.5;80.00%;0.9;0.85;22261.7334835;4579.0469598;26840.7804433;7.4310850;1000;0.2;800
60.99%;6.97%;12.00%;0.58%;0.44%;0.46%;0.23%;0.40%;0.10%;17.83%;258.2205100;78.1246975;42.2754513;6806.6746436;87.06%;649.9587675;361.7502094;42.2399525;66.0100409;0.0200336;16.4365002;62.3967885;46.4873541;732.6716071;558.7134176;271.9294439;422.8174787;;50.97509003;1.2;80.00%;99.94%;0.05;142.0010834;3;152.8160858;0.03;0.02;64.68369293;0.754231017;98.00%;2.645143986;0.1;0.1;2.5;80.00%;0.9;0.85;21119.9762375;4679.7591363;25799.7353738;8.7503587;1000;0.2;800
49.37%;4.60%;18.86%;1.92%;0.71%;0.26%;0.14%;0.33%;0.02%;23.80%;209.0235543;43.9846222;28.0200509;4117.3744829;88.84%;536.8546300;294.2415849;40.2601245;43.5647329;0.2701695;10.8476185;41.1800900;27.3234188;533.3703681;572.3954553;443.4537494;432.4127843;;52.85259628;1.2;80.00%;99.33%;0.05;140.0056458;3;150.7433167;0.03;0.02;50.53822327;0.821697077;98.00%;2.196530342;0.1;0.1;2.5;80.00%;0.9;0.85;20130.0622589;3088.5067471;23218.5690059;10.7326087;1000;0.2;800
62.42%;3.43%;13.24%;0.80%;0.98%;0.77%;0.25%;0.42%;0.05%;17.64%;264.2748686;67.8538331;21.4661043;6544.4662531;93.11%;711.3631934;379.7272326;6.9442523;32.4841378;0.0000000;8.0885503;30.7060236;16.7690710;541.7714427;417.0388271;344.2057348;316.6418120;;65.88993073;1.2;80.00%;99.52%;0.05;148.3391266;3;144.3728638;0.03;0.02;56.25849533;0.796642248;98.00%;2.722156763;0.1;0.1;2.5;80.00%;0.9;0.85;3472.1261536;2302.9517701;5775.0779237;18.1982507;1000;0.2;800
50.48%;1.88%;12.99%;2.54%;1.28%;0.91%;0.08%;0.45%;0.05%;29.33%;213.7230914;47.7470686;12.0763428;4076.5590227;94.36%;583.0209699;307.6016165;37.8396291;17.8047169;0.1909169;4.4333745;16.8301237;3.2483538;386.0459849;372.2813762;407.7175375;282.4629636;;62.6096344;1.2;80.00%;98.82%;0.05;143.9588318;3;148.0545197;0.03;0.02;50.51378632;0.821762877;98.00%;2.163818836;0.1;0.1;2.5;80.00%;0.9;0.85;18919.8145614;1262.2592792;20182.0738406;26.8510638;1000;0.2;800
61.82%;5.39%;17.52%;0.97%;1.48%;0.63%;0.09%;0.44%;0.14%;11.52%;261.7345783;87.7483084;33.0501660;7187.1767732;90.04%;681.2835212;371.8753552;14.5660741;51.0465022;0.0000000;12.7105791;48.2523228;26.8313972;648.9316253;579.3243159;388.0417754;438.4902832;;52.27283859;1.2;80.00%;100.00%;0.05;147.8607788;3;143.1559601;0.03;0.02;67.16991425;0.740568226;98.00%;2.746332169;0.1;0.1;2.5;80.00%;0.9;0.85;7283.0370510;3618.9242102;10901.9612611;11.4693878;1000;0.2;800
60.21%;4.24%;17.09%;1.40%;0.53%;0.31%;0.25%;0.09%;0.11%;15.77%;254.9181326;81.2510891;26.2389566;6305.3257993;91.40%;673.5758003;363.4608365;40.1282693;40.1553190;0.0330892;9.9986744;37.9573003;26.1805425;574.4948162;516.2070857;396.6430796;391.0627525;;60.99400711;1.2;80.00%;99.50%;0.05;143.9420166;3;154.8888092;0.03;0.02;64.81071472;0.753540636;98.00%;2.549309254;0.1;0.1;2.5;80.00%;0.9;0.85;20064.1346467;2846.7975234;22910.9321701;14.2004717;1000;0.2;800
61.87%;7.08%;19.60%;2.22%;0.96%;0.71%;0.30%;0.10%;0.15%;7.02%;261.9462691;72.3021089;42.9135835;7198.2352617;87.11%;659.6979694;367.1504784;36.3436080;67.0518063;0.0000000;16.6958998;63.3815298;43.1165663;744.1494188;711.4188046;416.6853346;537.2975868;;53.75021744;1.2;80.00%;100.00%;0.05;147.5894012;3;150.7755127;0.03;0.02;61.33763885;0.771784067;98.00%;2.817218542;0.1;0.1;2.5;80.00%;0.9;0.85;18171.8040002;4753.6147325;22925.4187327;8.7387006;1000;0.2;800
59.50%;6.95%;13.27%;0.74%;0.32%;0.26%;0.17%;0.14%;0.07%;18.58%;251.9121224;55.2510025;42.0414361;6073.8873967;86.84%;632.4392726;352.5192016;43.8835746;65.8206291;0.1031875;16.3893366;62.2177446;47.3038610;723.1980588;572.6211195;289.0288924;432.9781855;;50.62870789;1.2;80.00%;99.96%;0.05;141.1826172;3;157.6316986;0.03;0.02;53.02251053;0.811395930;98.00%;2.601474762;0.1;0.1;2.5;80.00%;0.9;0.85;21941.7872993;4666.3308461;26608.1181455;8.5611511;1000;0.2;800
58.25%;5.97%;20.80%;1.45%;0.45%;0.52%;0.05%;0.35%;0.10%;12.05%;246.6198509;53.6496561;36.2513004;5779.9071009;87.62%;624.7151881;344.7770624;44.5484961;56.5394468;0.1467087;14.0783223;53.4445950;39.2326978;658.6346864;671.6277430;449.9865635;507.2152551;;70.90647888;1.2;80.00%;99.09%;0.05;146.1986542;3;158.93927;0.03;0.02;52.38837433;0.814183105;98.00%;2.578309536;0.1;0.1;2.5;80.00%;0.9;0.85;22274.2480400;4008.3446261;26282.5926661;9.7571189;1000;0.2;800
62.45%;4.59%;13.74%;2.96%;1.04%;0.25%;0.05%;0.31%;0.15%;14.46%;264.4018831;81.9096666;28.3243952;5413.1628721;90.10%;688.7053013;372.5943388;43.6480255;43.4700270;0.0406792;10.8240367;41.0905680;24.6116722;602.7042892;517.8103323;375.8922599;392.3479815;;69.80566406;1.2;80.00%;98.44%;0.05;144.1053314;3;159.4850616;0.03;0.02;64.29347229;0.756286264;98.00%;2.136173248;0.1;0.1;2.5;80.00%;0.9;0.85;21824.0127288;3081.7926020;24905.8053308;13.6056645;1000;0.2;800
