Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
54.36%;5.28%;19.38%;2.45%;1.16%;0.59%;0.05%;0.23%;0.12%;16.38%;100.00%;150;6.55733544;4.293660967;93.91827374;34.52269439;7.312244533;637.5110919
61.15%;4.71%;19.88%;2.28%;1.03%;0.29%;0.20%;0.35%;0.08%;10.03%;100.00%;150;4.276005034;3.833768533;98.38779167;38.83526506;11.95834343;687.4689323
61.29%;3.35%;20.38%;2.35%;0.25%;0.88%;0.26%;0.49%;0.15%;10.60%;100.00%;150;0.978402908;3.301495067;82.60255483;38.92482969;13.2798005;834.8845953
49.42%;3.75%;22.19%;2.31%;1.12%;0.44%;0.15%;0.32%;0.06%;20.24%;100.00%;150;5.919090226;2.693949792;94.05574491;31.38664326;7.999718894;620.6012159
52.26%;3.17%;16.81%;1.38%;0.68%;0.80%;0.08%;0.23%;0.03%;24.57%;100.00%;150;5.829073972;2.59613652;74.39781132;33.18595518;10.71519964;612.8836606
54.75%;2.22%;18.84%;0.72%;0.56%;0.86%;0.12%;0.59%;0.12%;21.22%;100.00%;150;5.506537775;1.709151706;68.41213259;34.76746502;10.24883654;830.6097393
62.81%;5.19%;18.20%;2.25%;0.52%;0.55%;0.11%;0.51%;0.01%;9.85%;100.00%;150;3.213166651;4.952684773;90.10315317;39.88688583;14.33391615;837.4264958
57.15%;3.15%;23.28%;1.83%;0.87%;0.63%;0.03%;0.48%;0.09%;12.49%;100.00%;150;6.309390544;2.351569331;86.43193761;36.29403841;8.412684379;717.9230981
58.30%;3.63%;19.35%;0.54%;1.39%;0.70%;0.18%;0.20%;0.03%;15.70%;100.00%;150;3.764952781;2.238144778;77.69827036;37.0231152;10.48016501;974.8194077
50.35%;3.53%;20.36%;0.67%;1.25%;0.43%;0.25%;0.45%;0.02%;22.70%;100.00%;150;5.818158146;2.298474084;79.65728891;31.97397658;8.586787219;735.6212747
60.53%;5.09%;18.86%;0.40%;0.63%;0.57%;0.25%;0.11%;0.09%;13.47%;100.00%;150;4.288979619;4.718271407;88.73838881;38.44073172;8.419685845;904.6353605
51.14%;7.16%;18.88%;1.78%;0.44%;0.44%;0.10%;0.26%;0.07%;19.72%;100.00%;150;6.405025783;7.180679538;104.3267945;32.47986667;6.585929438;820.2353753
53.91%;3.27%;14.80%;0.81%;1.45%;0.88%;0.28%;0.08%;0.08%;24.43%;100.00%;150;5.554505853;1.771207379;63.9838582;34.23881753;10.07102866;690.3925654
56.34%;6.71%;16.52%;0.29%;1.25%;0.28%;0.22%;0.57%;0.03%;17.79%;100.00%;150;6.150620412;5.728380433;96.15989591;35.78159591;11.92622548;926.6160928
49.12%;7.25%;16.74%;1.72%;0.73%;0.39%;0.10%;0.10%;0.09%;23.74%;100.00%;150;6.473081727;6.937262448;99.14700741;31.1958003;7.818001635;805.3929295
59.15%;6.37%;19.88%;2.13%;0.50%;0.49%;0.29%;0.22%;0.08%;10.90%;100.00%;150;4.608172895;6.262553244;101.7514538;37.56552614;7.84724641;838.2030739
52.25%;6.54%;21.99%;2.61%;0.95%;0.90%;0.27%;0.42%;0.13%;13.94%;100.00%;150;5.731226843;5.889616558;119.1637092;33.18141657;7.513918954;564.5499316
55.09%;7.10%;15.88%;1.01%;0.46%;0.90%;0.11%;0.25%;0.09%;19.13%;100.00%;150;6.195084365;7.088440115;96.55524601;34.98538254;9.57764533;814.8122927
51.46%;2.56%;21.06%;1.76%;1.27%;0.92%;0.07%;0.14%;0.10%;20.66%;100.00%;150;5.982009567;1.231743959;77.89698892;32.68247633;7.123396134;596.1001913
51.39%;6.53%;24.36%;2.72%;0.64%;0.40%;0.06%;0.46%;0.08%;13.36%;100.00%;150;6.235770286;6.253434958;118.832935;32.63590545;8.111925905;689.0545254
49.17%;2.94%;19.38%;1.73%;1.22%;0.27%;0.02%;0.42%;0.01%;24.82%;100.00%;150;6.006721043;1.696920678;74.38490367;31.2244098;10.84486191;687.7653204
51.91%;7.01%;23.94%;0.72%;1.15%;0.33%;0.30%;0.37%;0.13%;14.15%;100.00%;150;6.370703298;6.174081858;116.8209634;32.96722759;6.544014774;563.6757485
55.65%;4.32%;23.35%;1.75%;1.19%;0.86%;0.24%;0.59%;0.03%;12.02%;100.00%;150;5.720048139;3.230974768;96.2258379;35.3425282;12.83159231;731.480453
59.54%;5.75%;24.13%;1.87%;1.28%;0.55%;0.23%;0.40%;0.04%;6.21%;100.00%;150;5.822475914;4.651026399;114.8362899;37.81300707;11.9398687;777.8238031
58.25%;2.81%;16.48%;1.78%;0.50%;0.84%;0.20%;0.45%;0.08%;18.60%;100.00%;150;5.823485093;2.430018402;69.04612881;36.99399847;8.053196939;780.6749214
54.10%;6.05%;23.66%;0.61%;1.06%;0.51%;0.15%;0.43%;0.05%;13.37%;100.00%;150;5.891266278;5.243658989;107.0086226;34.35931208;7.202188341;785.975191
50.00%;6.08%;16.97%;1.78%;0.99%;0.41%;0.22%;0.05%;0.04%;23.45%;100.00%;150;5.921588211;5.352002442;91.58566821;31.75664957;8.019612443;678.0370464
57.76%;4.28%;24.16%;0.55%;0.47%;0.35%;0.27%;0.11%;0.13%;11.92%;100.00%;150;5.893059874;4.037421267;94.44260208;36.68231081;10.0271341;682.026248
61.80%;1.56%;21.38%;1.72%;0.78%;0.38%;0.08%;0.06%;0.04%;12.20%;100.00%;150;1.003456317;0.735064518;69.37318844;39.2505117;9.945873056;945.20755
49.93%;4.31%;20.95%;1.06%;0.31%;0.26%;0.19%;0.45%;0.05%;22.50%;100.00%;150;5.976947481;4.266094352;92.40190681;31.70759361;9.304719061;774.2371362
58.06%;4.29%;16.63%;2.15%;0.90%;0.89%;0.16%;0.09%;0.13%;16.68%;100.00%;150;6.295648481;3.533177762;81.10055335;36.871986;10.81140108;871.5272864
53.67%;7.75%;23.18%;0.96%;0.84%;0.60%;0.14%;0.58%;0.06%;12.23%;100.00%;150;6.346794436;7.32675017;117.8552059;34.08438374;9.335675022;718.6569704
59.85%;2.39%;21.26%;2.84%;0.97%;0.33%;0.24%;0.52%;0.11%;11.50%;100.00%;150;1.776730213;1.400984416;77.80756655;38.00697483;8.622959485;722.3257957
57.62%;5.65%;12.17%;2.99%;0.76%;0.27%;0.23%;0.14%;0.14%;20.04%;100.00%;150;6.38093091;5.168525235;79.63325101;36.5903652;12.62696374;975.9226706
61.57%;1.62%;12.85%;2.00%;1.47%;0.42%;0.07%;0.51%;0.10%;19.39%;100.00%;150;5.720384999;-0.018200356;50.78912135;39.10157042;12.04368738;739.1911171
53.36%;4.43%;20.06%;2.41%;1.45%;0.50%;0.17%;0.18%;0.04%;17.41%;100.00%;150;5.968061015;3.031666147;88.23181146;33.8873423;8.160017201;776.860405
49.12%;6.60%;14.85%;1.79%;1.24%;0.76%;0.16%;0.11%;0.13%;25.22%;100.00%;150;6.056840401;5.61653931;91.41123074;31.19257898;7.741071473;639.1181913
62.37%;7.92%;16.63%;1.03%;0.36%;0.82%;0.08%;0.30%;0.05%;10.43%;100.00%;150;6.820810562;8.093368597;103.9484818;39.60867939;8.325623496;765.8505088
49.51%;3.67%;17.48%;0.68%;0.44%;0.26%;0.18%;0.20%;0.02%;27.56%;100.00%;150;5.509674918;3.42647022;72.11865173;31.44285538;9.588426119;688.7699207
54.39%;7.48%;20.43%;2.73%;0.89%;0.60%;0.06%;0.41%;0.10%;12.92%;100.00%;150;6.358326369;6.982728694;113.2082008;34.54133334;8.865704679;633.3566284
58.07%;3.81%;19.00%;0.28%;1.15%;0.69%;0.11%;0.46%;0.07%;16.36%;100.00%;150;6.166365006;2.727391469;77.22746169;36.88022666;9.766987589;857.6779773
51.35%;6.26%;18.11%;1.35%;1.33%;0.69%;0.29%;0.32%;0.05%;20.25%;100.00%;150;6.160376393;5.145965992;99.00966145;32.61388241;8.093376622;832.1117888
53.07%;2.76%;18.19%;1.89%;0.91%;0.46%;0.27%;0.16%;0.05%;22.25%;100.00%;150;5.720950979;1.87887021;70.07774929;33.70527183;12.22700411;894.7623999
52.79%;6.16%;17.08%;2.35%;0.43%;0.54%;0.14%;0.13%;0.08%;20.29%;100.00%;150;5.957003736;6.11372989;93.75003808;33.52405306;7.105612998;840.5856557
55.89%;7.70%;23.10%;0.91%;0.27%;0.47%;0.06%;0.21%;0.03%;11.37%;100.00%;150;6.648790453;7.960198381;115.9016642;35.49491791;8.913656371;927.9855872
62.71%;2.79%;23.33%;1.07%;0.72%;0.92%;0.23%;0.12%;0.12%;7.99%;100.00%;150;-0.229670717;2.137518341;82.15062769;39.82617674;12.37255341;884.466215
54.67%;7.12%;24.00%;1.28%;0.67%;0.89%;0.09%;0.44%;0.07%;10.78%;100.00%;150;6.398155911;6.862563246;118.2861808;34.7186078;10.03023242;836.1429729
50.05%;1.66%;22.54%;2.97%;0.91%;0.66%;0.13%;0.25%;0.04%;20.79%;100.00%;150;5.830326717;0.68578857;76.97692549;31.78625083;11.84875578;630.9655798
57.47%;7.26%;21.64%;0.29%;1.34%;0.72%;0.20%;0.24%;0.13%;10.71%;100.00%;150;6.030152584;6.207938893;110.2589078;36.49638309;7.838016377;700.0376928
52.55%;3.40%;16.46%;0.59%;1.11%;0.41%;0.02%;0.41%;0.07%;24.99%;100.00%;150;6.03193708;2.337441011;68.06751238;33.36997509;7.886730678;753.4255614
50.93%;5.21%;19.73%;1.60%;0.34%;0.88%;0.07%;0.49%;0.02%;20.74%;100.00%;150;5.927530075;5.188901701;97.42136474;32.34259934;6.922998851;622.6851272
60.15%;3.75%;23.51%;0.63%;0.83%;0.36%;0.07%;0.13%;0.13%;10.45%;100.00%;150;6.401070893;3.039705402;86.11593263;38.19723674;11.61993777;793.7348005
60.42%;2.58%;20.68%;1.46%;0.85%;0.73%;0.19%;0.10%;0.06%;12.93%;100.00%;150;5.630659955;1.75400737;77.7116619;38.36950322;11.25053614;981.228488
55.93%;7.99%;17.63%;2.26%;1.14%;0.30%;0.09%;0.23%;0.15%;14.28%;100.00%;150;6.410712944;7.23042904;108.6748447;35.52056729;11.87606916;729.6915036
59.70%;7.90%;24.56%;0.32%;0.27%;0.89%;0.04%;0.45%;0.12%;5.73%;100.00%;150;5.198772804;8.176410708;121.336896;37.91241734;10.40060223;702.7496784
60.51%;1.63%;13.41%;0.88%;0.74%;0.42%;0.26%;0.06%;0.05%;22.04%;100.00%;150;5.743195676;0.867158559;46.97633253;38.42632098;13.13228368;746.5033774
52.07%;1.54%;18.37%;1.47%;0.95%;0.73%;0.12%;0.50%;0.07%;24.17%;100.00%;150;5.457921992;0.524568783;62.11055673;33.06982133;11.18725493;638.4556671
53.91%;7.20%;24.42%;0.76%;1.24%;0.27%;0.10%;0.51%;0.13%;11.45%;100.00%;150;6.598938122;6.268812208;115.5845134;34.23948375;11.00950596;729.2604811
57.05%;6.30%;20.48%;2.00%;1.12%;0.86%;0.23%;0.40%;0.13%;11.43%;100.00%;150;6.410919853;5.43140414;103.5264579;36.22912004;8.235888994;928.3563721
55.04%;6.11%;24.86%;0.91%;1.38%;0.66%;0.18%;0.46%;0.11%;10.28%;100.00%;150;6.343737497;4.930087749;109.765252;34.9523972;10.39315632;962.9872016
58.48%;3.62%;24.41%;1.03%;1.28%;0.28%;0.18%;0.24%;0.01%;10.46%;100.00%;150;5.870883618;2.350334076;91.0667639;37.14209183;9.266126713;807.8247769
50.51%;5.21%;18.37%;0.92%;0.41%;0.90%;0.06%;0.53%;0.07%;23.02%;100.00%;150;6.035249278;5.106069516;89.16123104;32.07507889;6.800846231;755.3885818
54.26%;7.42%;23.80%;0.39%;0.76%;0.52%;0.27%;0.58%;0.06%;11.94%;100.00%;150;6.185061108;7.072078782;117.7798105;34.46021377;8.149501037;683.9353319
53.11%;7.39%;19.19%;1.89%;0.51%;0.31%;0.14%;0.46%;0.07%;16.93%;100.00%;150;6.751704849;7.341310185;106.9968662;33.72741221;10.74942676;691.6891111
53.42%;3.08%;14.61%;0.38%;0.92%;0.54%;0.12%;0.38%;0.14%;26.41%;100.00%;150;5.568235188;2.214205096;65.43326174;33.92868186;11.01881345;928.8559323
51.69%;3.42%;23.47%;2.64%;0.68%;0.61%;0.09%;0.35%;0.01%;17.04%;100.00%;150;5.597299468;2.85860456;95.83324392;32.8260046;9.493017931;844.8131328
62.85%;4.99%;13.67%;1.86%;1.15%;0.42%;0.16%;0.59%;0.15%;14.17%;100.00%;150;6.394951279;3.999710011;76.61102321;39.91214153;9.873614792;726.8026158
62.56%;4.29%;22.92%;2.09%;1.10%;0.31%;0.22%;0.44%;0.12%;5.95%;100.00%;150;2.723913254;3.293324914;94.91228456;39.73085463;10.61395291;998.5041535
49.38%;5.29%;15.34%;0.65%;1.42%;0.67%;0.03%;0.10%;0.01%;27.09%;100.00%;150;6.158924015;3.989499213;82.06000549;31.36117936;7.732525467;704.3616563
58.41%;3.76%;21.65%;2.26%;1.41%;0.77%;0.04%;0.54%;0.13%;11.02%;100.00%;150;5.976230938;2.353390453;89.72039032;37.09569886;8.194707906;860.354036
59.53%;2.19%;16.57%;1.98%;1.44%;0.90%;0.20%;0.21%;0.07%;16.92%;100.00%;150;1.233869991;0.632166262;63.60659765;37.80271477;10.29359543;829.0738582
54.71%;7.52%;17.28%;1.06%;0.65%;0.31%;0.13%;0.59%;0.06%;17.68%;100.00%;150;6.563261398;7.305957736;105.7491289;34.74222067;8.911058919;823.9625264
62.56%;3.93%;19.06%;2.51%;1.27%;0.78%;0.21%;0.27%;0.03%;9.38%;100.00%;150;2.174601014;2.70643485;88.96037616;39.73284192;9.164126468;816.0186393
59.59%;5.42%;24.31%;2.18%;1.21%;0.59%;0.21%;0.30%;0.13%;6.05%;100.00%;150;5.511585129;4.380324906;106.9022093;37.84689711;11.62499602;905.8082509
49.24%;1.88%;21.80%;0.66%;1.13%;0.42%;0.20%;0.22%;0.15%;24.31%;100.00%;150;5.536224882;0.660974262;70.60186994;31.27070814;10.95602615;697.3718511
55.32%;3.93%;22.71%;0.96%;0.61%;0.35%;0.27%;0.10%;0.14%;15.60%;100.00%;150;5.456976025;3.502267037;88.65212928;35.13261286;8.079209701;827.3179587
49.90%;3.73%;16.79%;2.02%;1.44%;0.29%;0.11%;0.41%;0.06%;25.25%;100.00%;150;6.31569509;2.285645955;74.43433991;31.68904172;10.88283281;639.2885909
53.12%;1.60%;13.80%;1.22%;1.06%;0.84%;0.30%;0.44%;0.03%;27.59%;100.00%;150;5.13300875;0.444585297;57.41900556;33.73812469;8.791976834;805.0868412
58.15%;3.36%;14.00%;0.78%;0.68%;0.61%;0.22%;0.50%;0.12%;21.59%;100.00%;150;5.786323609;2.8036741;67.28519273;36.93034061;8.538736945;865.7896321
53.65%;5.25%;14.34%;2.44%;0.69%;0.53%;0.07%;0.23%;0.05%;22.75%;100.00%;150;6.462377995;4.823217659;81.35264487;34.07314132;8.067908826;672.6035175
56.03%;4.26%;17.64%;0.28%;1.07%;0.26%;0.23%;0.12%;0.08%;20.03%;100.00%;150;6.141033979;3.299957378;76.61778503;35.58291164;7.827850429;623.0186827
52.86%;2.23%;14.92%;1.51%;1.17%;0.86%;0.17%;0.36%;0.07%;25.85%;100.00%;150;5.88599099;1.000143148;64.51934592;33.56923473;10.26769481;828.862712
56.64%;5.65%;18.62%;1.31%;0.86%;0.54%;0.16%;0.26%;0.09%;15.87%;100.00%;150;6.362969093;5.051464152;91.51030092;35.97068437;10.25745823;845.5403188
51.42%;5.83%;19.52%;0.53%;0.81%;0.66%;0.21%;0.14%;0.06%;20.83%;100.00%;150;6.024591914;5.308296876;94.47213377;32.65347694;8.612403535;826.0126582
52.32%;3.17%;16.30%;2.03%;0.57%;0.38%;0.25%;0.37%;0.08%;24.53%;100.00%;150;5.795450487;2.722029792;73.7321866;33.2286726;11.94419528;706.6300651
53.62%;4.78%;23.42%;1.63%;0.36%;0.86%;0.27%;0.55%;0.10%;14.41%;100.00%;150;5.768087256;4.720959804;98.93524084;34.05384372;10.32587966;914.1467373
50.30%;4.20%;17.46%;1.42%;0.92%;0.43%;0.19%;0.56%;0.03%;24.49%;100.00%;150;5.650298111;3.421556162;82.48114734;31.94727866;9.003264226;788.7621747
55.80%;5.42%;20.27%;2.49%;0.42%;0.60%;0.15%;0.45%;0.06%;14.33%;100.00%;150;6.127151976;5.329028867;97.24325929;35.43633997;10.8252251;846.0009038
55.86%;5.89%;12.54%;0.56%;0.98%;0.63%;0.04%;0.58%;0.04%;22.88%;100.00%;150;6.255218017;5.167294474;77.74562324;35.47528342;11.40183307;867.4390065
52.21%;3.97%;12.50%;0.71%;0.44%;0.26%;0.05%;0.08%;0.03%;29.74%;100.00%;150;6.297629229;3.743921202;61.79815368;33.15588453;8.338418704;864.6334896
58.96%;7.16%;20.13%;1.90%;0.43%;0.63%;0.26%;0.15%;0.12%;10.26%;100.00%;150;6.355874735;7.195399855;110.7853193;37.44560318;9.45923142;659.2379433
58.45%;5.90%;24.86%;1.72%;0.43%;0.60%;0.28%;0.28%;0.08%;7.39%;100.00%;150;5.629568674;5.841329796;115.9980364;37.12098863;8.636471088;816.3820305
52.44%;2.97%;17.70%;1.03%;0.86%;0.32%;0.09%;0.43%;0.13%;24.04%;100.00%;150;6.172568808;2.160438824;69.2696245;33.30582514;8.363074989;734.3612429
54.38%;1.51%;17.33%;2.56%;0.60%;0.74%;0.09%;0.23%;0.11%;22.45%;100.00%;150;5.397836441;0.911772648;66.61657924;34.53507998;12.14374475;767.0479647
53.65%;6.11%;18.58%;0.98%;1.16%;0.62%;0.04%;0.17%;0.11%;18.56%;100.00%;150;6.122537188;5.189878627;94.23004788;34.07149849;10.23556091;706.6577414
56.50%;1.53%;22.22%;1.11%;1.25%;0.30%;0.07%;0.23%;0.03%;16.76%;100.00%;150;6.1199651;0.142573034;68.62764626;35.87972295;13.27973946;951.8737445
59.59%;5.74%;22.20%;2.65%;0.68%;0.37%;0.19%;0.24%;0.03%;8.32%;100.00%;150;6.140557946;5.359500545;103.3219174;37.84709395;8.165779571;715.0967537
53.87%;2.89%;24.52%;0.54%;0.49%;0.47%;0.29%;0.28%;0.09%;16.55%;100.00%;150;5.950829746;2.525473894;84.08349363;34.21044272;10.591846;654.6884233
61.62%;5.36%;19.57%;1.24%;1.48%;0.71%;0.17%;0.58%;0.13%;9.15%;100.00%;150;2.368711598;3.986113856;93.48580735;39.13379113;11.7265778;731.1190003
59.53%;1.68%;14.52%;0.67%;1.01%;0.39%;0.22%;0.43%;0.14%;21.43%;100.00%;150;5.810115221;0.60510363;52.32762463;37.80341505;12.38557946;963.3003084
49.55%;4.12%;15.04%;2.77%;0.91%;0.34%;0.20%;0.07%;0.05%;26.95%;100.00%;150;5.80341255;3.336483614;75.27002274;31.46899874;8.451839253;717.2795662
53.37%;7.60%;17.64%;0.97%;0.90%;0.55%;0.23%;0.08%;0.04%;18.61%;100.00%;150;6.299943694;7.10126436;103.8405003;33.89679426;7.219345983;767.553554
61.35%;5.62%;12.22%;2.71%;0.71%;0.29%;0.09%;0.38%;0.14%;16.49%;100.00%;150;4.712079676;5.191240286;87.07219881;38.96167607;12.23611788;774.6236787
54.60%;1.65%;23.60%;1.64%;1.11%;0.26%;0.19%;0.33%;0.08%;16.55%;100.00%;150;5.901862164;0.447433995;75.35540314;34.6739485;8.065822571;616.4372262
54.27%;2.35%;16.29%;1.03%;1.44%;0.78%;0.14%;0.58%;0.04%;23.08%;100.00%;150;6.043118836;0.80145246;63.68654817;34.46720149;11.09208442;708.2613547
57.57%;5.89%;22.70%;2.46%;0.59%;0.63%;0.23%;0.25%;0.10%;9.58%;100.00%;150;5.93820498;5.623018213;109.039324;36.5592536;12.66043815;772.2061093
59.53%;7.32%;13.44%;1.53%;1.00%;0.29%;0.24%;0.17%;0.05%;16.44%;100.00%;150;5.519106938;6.686050951;90.9941264;37.80530393;10.75766684;790.1919195
55.24%;5.33%;19.52%;2.42%;0.64%;0.38%;0.11%;0.58%;0.10%;15.67%;100.00%;150;5.915339136;4.967758368;96.26666411;35.08279038;7.284536728;630.9681645
60.43%;2.74%;18.62%;0.72%;0.90%;0.85%;0.07%;0.56%;0.14%;14.97%;100.00%;150;2.891381921;1.864307337;71.21365844;38.38046931;11.55373908;830.4136394
52.08%;8.00%;23.68%;2.80%;0.70%;0.56%;0.06%;0.30%;0.02%;11.81%;100.00%;150;6.414284203;7.771048688;127.4973726;33.07671819;10.52636898;782.7630448
56.07%;7.35%;22.50%;2.29%;0.45%;0.72%;0.13%;0.14%;0.06%;10.29%;100.00%;150;6.555385831;7.377352244;120.5982395;35.60823926;9.383500882;921.9902641
52.45%;2.52%;18.05%;2.62%;0.75%;0.60%;0.04%;0.57%;0.06%;22.33%;100.00%;150;5.702696117;1.81043835;72.79089652;33.31242675;10.56311579;641.0098955
58.43%;2.42%;19.75%;1.90%;1.09%;0.68%;0.26%;0.46%;0.08%;14.93%;100.00%;150;3.263014684;1.287139401;75.86197439;37.10925412;12.97710201;759.5027028
52.53%;1.95%;21.01%;0.34%;0.33%;0.75%;0.18%;0.52%;0.05%;22.33%;100.00%;150;5.899698438;1.702724064;68.76141824;33.36040957;12.01958638;918.4431739
51.10%;2.27%;14.48%;2.94%;1.25%;0.40%;0.29%;0.43%;0.14%;26.70%;100.00%;150;5.444901847;0.945608851;62.88743857;32.45296435;7.397613925;752.0285919
49.70%;4.64%;22.14%;1.73%;0.25%;0.47%;0.12%;0.34%;0.12%;20.48%;100.00%;150;5.976114825;4.690097068;95.28743354;31.56390826;10.46265637;888.6030191
49.38%;3.07%;16.00%;2.77%;1.32%;0.38%;0.13%;0.55%;0.03%;26.37%;100.00%;150;5.92233819;1.727165482;69.9329617;31.3611964;11.09190554;668.5029884
55.48%;2.27%;12.05%;0.89%;0.98%;0.49%;0.21%;0.10%;0.07%;27.46%;100.00%;150;5.993278121;1.267141539;49.48828187;35.23532772;12.83837878;693.8931363
51.97%;4.60%;24.80%;1.61%;0.30%;0.65%;0.02%;0.21%;0.14%;15.69%;100.00%;150;5.948041974;4.583168367;101.6920237;33.00639059;10.25875496;619.600866
55.92%;2.49%;15.47%;0.50%;1.26%;0.27%;0.13%;0.34%;0.03%;23.59%;100.00%;150;6.027945595;1.172235161;59.01021606;35.51133109;10.18713377;841.9955453
52.11%;7.73%;21.77%;1.10%;0.28%;0.36%;0.17%;0.54%;0.10%;15.84%;100.00%;150;6.600907131;7.989083162;114.3949061;33.09661766;10.87831537;929.0602586
59.48%;7.72%;23.64%;2.52%;0.85%;0.32%;0.21%;0.10%;0.02%;5.13%;100.00%;150;5.206590791;7.285743208;122.1032272;37.77677392;7.89360706;789.972365
52.25%;7.04%;12.69%;0.81%;1.09%;0.89%;0.23%;0.26%;0.11%;24.64%;100.00%;150;6.200945591;6.270167127;88.02610652;33.18334709;11.0958154;740.3244156
50.50%;2.02%;20.91%;2.28%;1.06%;0.68%;0.21%;0.55%;0.13%;21.65%;100.00%;150;5.383502044;0.897324946;73.75519499;32.07431047;7.586634887;774.0785509
54.18%;4.48%;24.00%;1.01%;0.44%;0.34%;0.02%;0.49%;0.06%;14.97%;100.00%;150;5.86049801;4.286846149;98.22576541;34.40997869;11.64469592;800.0462037
58.05%;4.60%;14.58%;2.53%;0.55%;0.28%;0.22%;0.49%;0.14%;18.56%;100.00%;150;6.179229535;4.299960984;78.16862046;36.8648393;12.92785663;815.8757805
52.72%;5.25%;23.73%;0.49%;0.53%;0.36%;0.29%;0.38%;0.11%;16.12%;100.00%;150;6.015802104;5.008044682;101.3969249;33.48308068;8.431569345;635.8615407
60.34%;1.53%;16.03%;0.69%;0.25%;0.40%;0.15%;0.27%;0.05%;20.28%;100.00%;150;1.624174789;1.347295951;53.48960352;38.31856028;11.03510843;946.6972046
60.86%;2.23%;14.77%;0.69%;1.19%;0.33%;0.10%;0.50%;0.04%;19.31%;100.00%;150;2.682875914;0.967758451;57.50269042;38.64844022;11.73743986;937.3323883
60.66%;2.45%;12.08%;1.51%;1.12%;0.34%;0.17%;0.36%;0.07%;21.23%;100.00%;150;5.15163501;1.295310775;53.57443523;38.52092767;12.57992035;728.2470847
54.39%;7.58%;14.32%;2.20%;0.91%;0.44%;0.03%;0.34%;0.14%;19.66%;100.00%;150;6.368942234;7.062478566;103.6853777;34.54376352;8.301993769;791.4838249
54.75%;8.00%;17.60%;2.95%;0.85%;0.55%;0.10%;0.54%;0.06%;14.58%;100.00%;150;6.720884831;7.583759532;111.0561115;34.7732755;10.82474159;668.0855568
60.13%;7.95%;23.68%;1.96%;0.65%;0.30%;0.30%;0.42%;0.08%;4.55%;100.00%;150;5.429123099;7.778959901;123.2592948;38.18430228;9.251613552;975.8379826
57.76%;4.82%;14.36%;1.97%;1.02%;0.67%;0.26%;0.43%;0.03%;18.67%;100.00%;150;5.520336092;3.972588157;82.83602591;36.68022131;8.280690367;899.566863
51.49%;5.82%;14.18%;2.18%;0.44%;0.29%;0.08%;0.59%;0.04%;24.90%;100.00%;150;6.5955758;5.734579981;84.36465633;32.69698928;10.69972315;748.8670557
50.57%;7.75%;23.12%;1.03%;0.68%;0.28%;0.15%;0.60%;0.11%;15.72%;100.00%;150;6.683538089;7.519204556;118.7309871;32.11375737;9.50973673;803.2833667
57.70%;3.95%;20.44%;0.67%;1.35%;0.54%;0.09%;0.16%;0.04%;15.07%;100.00%;150;6.319447247;2.633911686;82.58081968;36.64257244;11.22515069;882.8422234
55.77%;6.03%;23.04%;1.51%;0.40%;0.65%;0.29%;0.58%;0.05%;11.68%;100.00%;150;5.882107029;6.000223452;106.282496;35.41921893;7.297721011;789.9830133
52.44%;4.47%;15.86%;1.06%;1.44%;0.57%;0.03%;0.40%;0.02%;23.71%;100.00%;150;6.418433921;3.089698115;75.95773604;33.30427694;7.197812318;693.7062556
49.05%;2.25%;17.25%;0.54%;1.48%;0.47%;0.18%;0.33%;0.06%;28.40%;100.00%;150;5.293466254;0.641091571;67.00340689;31.15182993;8.28044369;787.9046035
56.00%;3.10%;12.33%;1.82%;0.85%;0.63%;0.17%;0.50%;0.09%;24.51%;100.00%;150;5.54805257;2.322360065;60.98614773;35.56441274;9.226508289;795.3703449
56.09%;7.37%;23.73%;2.37%;0.57%;0.56%;0.02%;0.11%;0.04%;9.14%;100.00%;150;6.285719333;7.252506353;119.0177282;35.61920536;7.638246717;787.8996742
58.92%;4.47%;20.25%;2.38%;0.91%;0.38%;0.04%;0.33%;0.14%;12.17%;100.00%;150;6.255573231;3.719195519;89.2841193;37.42057081;11.85884549;716.7120682
56.96%;4.86%;17.39%;2.81%;0.80%;0.70%;0.27%;0.57%;0.05%;15.60%;100.00%;150;5.965515331;4.264207878;90.52839813;36.17237041;7.552856142;665.9280426
61.18%;6.59%;24.72%;1.70%;1.08%;0.47%;0.24%;0.60%;0.12%;3.31%;100.00%;150;4.304617017;5.790952349;116.1750114;38.85266621;9.334780907;811.3010922
62.06%;7.44%;18.47%;1.90%;0.79%;0.57%;0.28%;0.20%;0.12%;8.17%;100.00%;150;5.688109674;7.066651144;107.723172;39.41176287;10.37819292;913.1476188
58.81%;6.44%;17.06%;0.30%;1.20%;0.30%;0.08%;0.30%;0.13%;15.38%;100.00%;150;6.634684616;5.488093032;90.89701817;37.34871394;9.465174029;782.3709008
